"Timestamp","Which course are you currently enrolled in?","What motivated you to seek a computing class at CCM?","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Open House]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Instant Decision Day]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [On-Campus Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Virtual Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Women Who Dare]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Regional College Fair]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing related club]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming)]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Afterschool computing-related camp/program]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Summer computing related camp/program]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [An AP computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [A dual enrollment computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend influence]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend working in the computing field]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [High school teacher or guidance counselor]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Employer influence]","How did you hear about County College of Morris (check all that apply)?","To what extent did the following impact your decision to attend County College of Morris? [Affordable cost]","To what extent did the following impact your decision to attend County College of Morris? [Location/convenience]","To what extent did the following impact your decision to attend County College of Morris? [Choice of programs]","To what extent did the following impact your decision to attend County College of Morris? [Online offerings]","To what extent did the following impact your decision to attend County College of Morris? [Family/friend referral]","To what extent did the following impact your decision to attend County College of Morris? [Faculty/staff]","To what extent did the following impact your decision to attend County College of Morris? [College reputation]","To what extent did the following impact your decision to attend County College of Morris? [Scholarships]","To what extent did the following impact your decision to attend County College of Morris? [Transfer student]","To what extent did the following impact your decision to attend County College of Morris? [Small class sizes]","To what extent did the following impact your decision to attend County College of Morris? [Extra curricula opportunities]","What degree program are you currently enrolled in?","Did you receive information about our computing course from any of the following sources? [High school guidance counselor]","Did you receive information about our computing course from any of the following sources? [CCM Information Technologies Website]","Did you receive information about our computing course from any of the following sources? [CCM Admissions]","Did you receive information about our computing course from any of the following sources? [CCM advisor/counselor]","Did you receive information about our computing course from any of the following sources? [Employer]","Did you receive information about our computing course from any of the following sources? [Other]","On a scale of 1 to 5, with 1 being not at all interested and 5 being extremely interested, how interested are you taking more courses in Computer Science, Information Technology or Game Development?","If you answered that you were interested in taking more computing classes, which ones interest you most? (check all that apply)","Gender","Race/ethnicity","Age "
"2020/07/08 10:30:22 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend","High Impact","High Impact","High Impact","High Impact","Some Impact","Some Impact","High Impact","No Impact","No Impact","No Impact","No Impact","Criminal Justice","No","Yes","No","No","No","No","3","","Woman","White/Caucasian","35-64"
"2020/07/08 11:15:08 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","No","No","No","Yes","No","No","Some Impact","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","High Impact","N/A","High School","No Impact","High Impact","High Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Radiography","No","No","Yes","No","No","No","1","","Woman","White/Caucasian","21-24"
"2020/07/08 11:22:23 AM EST","CMP 135 Computer Concepts with Applications","To keep current in computing skills;Career Advancement;Career Change;Professional Development;IT Industry Certifications","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","High Impact","Web site;Family member or friend;Current student;High School;Live nearby","Some Impact","High Impact","Some Impact","Some Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Computer Science","No","Yes","No","No","No","No","5","","Man","Multi-Racial","25-34"
"2020/07/08 2:14:53 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","Yes","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Web site;Social Media;Community Event;Family member or friend;Employer;Current student;High School","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","No Impact","No Impact","No Impact","No Impact","Criminal Justice","No","No","No","No","No","No","1","","Woman","White/Caucasian","21-24"
"2020/07/08 3:34:11 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Current student;High School","Some Impact","No Impact","Some Impact","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Radiography","No","No","No","No","No","Yes","5","","Man","Hispanic or Latino","25-34"
"2020/07/09 1:38:32 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills;Professional Development;Personal Enrichment;Curiosity","No","No","No","No","No","No","Some Impact","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","Some Impact","Some Impact","Some Impact","Web site;Billboard;Family member or friend;Current student;Alumni;High School","High Impact","High Impact","High Impact","No Impact","No Impact","N/A","Some Impact","Some Impact","No Impact","Some Impact","Some Impact","Exercise Science","No","Yes","Yes","Don't recall","No","No","3","","Man","Choose not to reply","19-20"
"2020/07/11 9:34:30 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","No","Yes","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend;Alumni;High School","High Impact","High Impact","High Impact","Some Impact","High Impact","Some Impact","High Impact","No Impact","No Impact","No Impact","No Impact","Criminal Justice","No","No","No","Yes","No","No","5","","Woman","White/Caucasian","19-20"
"2020/07/17 11:41:59 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","No","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Family member or friend;High School","High Impact","Some Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","Radiography","Don't recall","Don't recall","Yes","Don't recall","Don't recall","Don't recall","4","","Woman","White/Caucasian","19-20"
"2020/07/20 10:38:05 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills;Professional Development;Personal Enrichment","Yes","No","No","No","No","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","High Impact","No Impact","No Impact","Web site;Family member or friend;Alumni;High School","High Impact","High Impact","No Impact","No Impact","High Impact","No Impact","Some Impact","No Impact","N/A","No Impact","Some Impact","Mathematics","No","No","No","Yes","No","No","4","","Man","Multi-Racial","19-20"
"2020/07/21 4:32:09 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","Yes","No","Yes","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","No Impact","N/A","Some Impact","Billboard;Family member or friend;I would pass by CCM all the time","High Impact","High Impact","High Impact","N/A","N/A","N/A","High Impact","N/A","N/A","No Impact","N/A","Public Health","No","Yes","No","No","No","No","2","","Woman","White/Caucasian","35-64"
